Listing Type,Contact Person Type,City,Locality,House Type,No. of Bedrooms,99acres,Magicbricks
Buy,Owner,Bangalore,All,,2,2101,N/A
Rent,Builder,Bangalore,All,,4,2941,N/A
Rent,Dealer,Bangalore,All,,3,89,N/A
